novel_name,author,novelurl,serialstatus,serialnumber,category,collects,reviews
荣华似锦,大风御医,http://chuangshi.qq.com/bk/xx/15820925.html,仙侠,41851,连载中,303,2929
都市极品鬼差,狐狸的,http://chuangshi.qq.com/bk/ds/16442651.html,都市,943051,连载中,4892,19351
九龙狂帝,释不争,http://chuangshi.qq.com/bk/xh/19637200.html,玄幻,380183,连载中,5450,9500
全职大卡牌时代,狱使,http://chuangshi.qq.com/bk/ds/15174906.html,都市,78048,连载中,136,1359
末日中的杀戮,MU璐璐,http://chuangshi.qq.com/bk/kh/20285397.html,科幻,28024,连载中,74,643
与梦之遥,惟络,http://chuangshi.qq.com/bk/qc/20230641.html,现实,13757,连载中,69,589
魔技师之召唤战姬,冬目雪,http://chuangshi.qq.com/bk/xh/15389223.html,玄幻,370139,连载中,2025,9702
七年三班石田,七年三班石田,http://chuangshi.qq.com/bk/2cy/20007188.html,二次元,9874,连载中,68,680
网游之神者回归,砂无赦,http://chuangshi.qq.com/bk/yx/20358094.html,游戏,18134,连载中,52,517
﻿novel_name,author,novelurl,serialstatus,serialnumber,category,collects,reviews
通天武尊, 夜云端,http://www.x23us.com/book/65659, 连载中, 6522655字,玄幻魔法,1118,84832
重生之宗门崛起, 皮卡超忍,http://www.x23us.com/book/64556, 连载中, 2881636字,玄幻魔法,696,53226
武极宗师, 风消逝,http://www.x23us.com/book/67582, 连载中, 3151341字,玄幻魔法,383,98542
最强万界降临系统, 左手执画笔,http://www.x23us.com/book/68125, 连载中, 510191字,玄幻魔法,163,1548
带着武功去异界, 天秀弟子,http://www.x23us.com/book/67575, 连载中, 937172字,玄幻魔法,183,6712
武破九荒, 无敌小贝,http://www.x23us.com/book/58232, 连载中, 5168365字,玄幻魔法,1403,190170
憾梦西游, 胡鹤颜宝宝,http://www.x23us.com/book/64749, 连载中, 1632372字,玄幻魔法,130,7872
逆剑狂神, 一剑清新,http://www.x23us.com/book/58259, 连载中, 11071660字,玄幻魔法,2368,336396
玄武战尊, 天地有缺,http://www.x23us.com/book/65868, 连载中, 4612984字,玄幻魔法,1004,114334
重生原始时代, 南州十一郎,http://www.x23us.com/book/66443, 连载中, 1765576字,玄幻魔法,1017,275805
天道图书馆, 横扫天涯,http://www.x23us.com/book/67025, 连载中, 2586420字,玄幻魔法,2371,1837162
绝世武魂, 洛城东,http://www.x23us.com/book/65688, 连载中, 8178409字,玄幻魔法,391,16090
大唐东游记, 摩拳英,http://www.x23us.com/book/63157, 连载中, 2893010字,玄幻魔法,168,19844
异世界的美食家, 李鸿天,http://www.x23us.com/book/66792, 连载中, 3190376字,玄幻魔法,2406,1347851
